Numero_Peces,Semana,Peso_Desde,Peso_Hasta,Ganacia _Semanla(g),Tasa_Alimentacion(%),N_Alimentacion_Dia,Alimento_diario(kg/dia),Alimento_Semanal,Comsumo_Acumulado,Conversion_Acumulada,Bultos
1000,1,1.0,2.0,1.0,8.0,10,120.0,0.84,0.84,0.0,0.0
970,2,2.0,4.5,2.5,7.8,10,246.0,40.0,40.84,0.0,0.0
39,3,4.5,8.0,3.5,7.5,9,18.0,0.13,40.969,5.85,2.1
38,4,8.0,14.0,6.0,7.8,9,32.0,0.23,40.355,3.36,0.0
37,5,14.0,20.0,6.0,5.6,8,35.0,0.25,600.0,0.04,0.0
37,6,20.0,28.0,8.0,5.3,8,0.0,0.33,797.0,0.04,1.0
35,7,28.0,38.0,10.0,5.2,7,0.1,0.42,1.0,0.04,0.0
35,8,38.0,48.0,10.0,4.2,7,0.1,0.44,1.178,0.04,0.0
34,9,48.0,58.0,10.0,3.6,6,66.0,0.46,1.312,0.04,0.0
34,10,58.0,68.0,10.0,3.3,6,71.0,0.5,1.392,0.05,0.0
34,11,68.0,80.0,12.0,3.2,6,0.1,0.56,1.519,0.05,0.0
34,12,80.0,100.0,20.0,3.0,6,91.0,0.64,1.7,0.04,0.0
34,13,100.0,120.0,20.0,2.9,6,107.0,0.75,1.954,0.04,0.1
32,14,120.0,140.0,20.0,2.9,5,121.0,0.84,2.235,0.04,0.0
32,15,140.0,160.0,20.0,2.6,5,124.0,0.87,2.466,0.04,0.0
32,16,160.0,180.0,20.0,2.4,5,130.0,0.91,2.622,0.04,0.0
32,17,180.0,200.0,20.0,2.2,5,132.0,0.93,2.705,0.05,0.0
32,18,200.0,220.0,20.0,2.1,5,139.0,0.98,2.81,0.05,0.0
